;SW:5Q0-937-084-CP   HW:5Q0-937-084-CF ---  Cent. Elect.
;Component:BCM MQBAB M+  H36 0253, Coding:000000000000000000000000000000000000000000000000000000000000
ENG153727-ENG154634-LIN-SMLS_konfig_1-grenze_v,No Response From Subnet Component,1
ENG153727-ENG154686-LIN-SMLS_konfig_1-hupe_entprellen,No Response From Subnet Component,1
ENG153727-ENG154690-LIN-SMLS_konfig_1-hupe_indien_entprellen,No Response From Subnet Component,1
ENG153727-ENG154692-LIN-SMLS_konfig_1-k_i,No Response From Subnet Component,1
ENG153727-ENG154693-LIN-SMLS_konfig_1-k_i_offset,No Response From Subnet Component,1
ENG153727-ENG154694-LIN-SMLS_konfig_1-k_p,No Response From Subnet Component,1
ENG153727-ENG154695-LIN-SMLS_konfig_1-leistung_lrh,No Response From Subnet Component,1
ENG153727-ENG154699-LIN-SMLS_konfig_1-lrh_entprellen,No Response From Subnet Component,1
ENG153727-ENG154713-LIN-SMLS_konfig_1-pwm_lrh,No Response From Subnet Component,1
ENG153727-ENG154773-LIN-SMLS_konfig_1-s_NWDF_spg,No Response From Subnet Component,1
ENG153727-ENG154777-LIN-SMLS_konfig_1-soll_0,No Response From Subnet Component,1
ENG153727-ENG154778-LIN-SMLS_konfig_1-soll_1,No Response From Subnet Component,1
ENG153727-ENG154779-LIN-SMLS_konfig_1-soll_2,No Response From Subnet Component,1
ENG153727-ENG154786-LIN-SMLS_konfig_1-speedlimiter_entprellen,No Response From Subnet Component,1
ENG153727-ENG154788-LIN-SMLS_konfig_1-temlenkradheizung_aus,No Response From Subnet Component,1
ENG153727-ENG154804-LIN-SMLS_konfig_1-verriegelt_entprellen,No Response From Subnet Component,1
ENG153727-ENG154811-LIN-SMLS_konfig_1-wischer_entprellen,No Response From Subnet Component,1
ENG153727-ENG154823-LIN-SMLS_konfig_1-wischer_intervall_entprellen,No Response From Subnet Component,1
ENG153727-ENG154824-LIN-SMLS_konfig_1-wischer_winterstellung,No Response From Subnet Component,1
ENG153727-ENG154830-LIN-SMLS_konfig_1-zeit_temperatur_statisch_lrh,No Response From Subnet Component,1
ENG153728-IDE00329-LIN-SMLS_konfig_2-Buttons for multi-function display,No Response From Subnet Component,1
ENG153728-IDE02694-LIN-SMLS_konfig_2-Signal horn activation,No Response From Subnet Component,1
ENG153728-IDE02711-LIN-SMLS_konfig_2-Rear wiper,No Response From Subnet Component,1
ENG153728-IDE02745-LIN-SMLS_konfig_2-Ignition Switch Key Lock Solenoid,No Response From Subnet Component,1
ENG153728-MAS00128-LIN-SMLS_konfig_2-Distance Regulation,No Response From Subnet Component,1
ENG153728-MAS00242-LIN-SMLS_konfig_2-Driver assistance systems button,No Response From Subnet Component,1
ENG153728-MAS05091-LIN-SMLS_konfig_2-CCS Switch,No Response From Subnet Component,1
ENG153728-MAS06090-LIN-SMLS_konfig_2-CCS on turn signal switch,No Response From Subnet Component,1
ENG153728-MAS06091-LIN-SMLS_konfig_2-Contact bounce suppression for signal horn,No Response From Subnet Component,1
ENG153728-MAS08540-LIN-SMLS_konfig_2-reading P locked,No Response From Subnet Component,1
ENG153728-ENG154465-LIN-SMLS_konfig_2-diagnosis limitation,No Response From Subnet Component,1
ENG153728-ENG154623-LIN-SMLS_konfig_2-gra_grahebel_2_st,No Response From Subnet Component,1
ENG153728-ENG154461-LIN-SMLS_konfig_2-speed_limiter_button,No Response From Subnet Component,1
ENG117284-ENG115658-LuB Lichtrouter Kennlinie 1-x0,0.0 %,12
ENG117284-ENG101574-LuB Lichtrouter Kennlinie 1-X1,5.0 %,12
ENG117284-ENG99557-LuB Lichtrouter Kennlinie 1-X2,50.0 %,12
ENG117284-ENG102140-LuB Lichtrouter Kennlinie 1-X3,75.0 %,12
ENG117284-ENG102936-LuB Lichtrouter Kennlinie 1-X4,110.0 ,12
ENG117284-ENG103548-LuB Lichtrouter Kennlinie 1-X5,126.5 ,12
ENG117284-ENG115659-LuB Lichtrouter Kennlinie 1-y0,0.0 %,12
ENG117284-ENG99777-LuB Lichtrouter Kennlinie 1-Y1,6.0 %,12
ENG117284-ENG100480-LuB Lichtrouter Kennlinie 1-Y2,16.0 %,12
ENG117284-ENG100773-LuB Lichtrouter Kennlinie 1-Y3,30.0 %,12
ENG117284-ENG100631-LuB Lichtrouter Kennlinie 1-Y4,60.0 %,12
ENG117284-ENG102174-LuB Lichtrouter Kennlinie 1-Y5,100.0 %,12
ENG141659-ENG115658-lwr_ofs_RSw_Ah1S-x0,-5.00 %,20
ENG141659-ENG101574-lwr_ofs_RSw_Ah1S-X1,-5.00 %,20
ENG141659-ENG99557-lwr_ofs_RSw_Ah1S-X2,-5.00 %,20
ENG141659-ENG102140-lwr_ofs_RSw_Ah1S-X3,-5.00 %,20
ENG141659-ENG102936-lwr_ofs_RSw_Ah1S-X4,-5.00 %,20
ENG141659-ENG115659-lwr_ofs_RSw_Ah1S-y0,-5.00 ,20
ENG141659-ENG99777-lwr_ofs_RSw_Ah1S-Y1,-5.00 ,20
ENG141659-ENG100480-lwr_ofs_RSw_Ah1S-Y2,-5.00 ,20
ENG141659-ENG100773-lwr_ofs_RSw_Ah1S-Y3,-5.00 ,20
ENG141659-ENG100631-lwr_ofs_RSw_Ah1S-Y4,-5.00 ,20
ENG133365-ENG133451-Multikontursitz_BFS_Wildmoser-Differenzdruck_Toleranzband,No Response From Subnet Component,20
ENG133365-ENG133447-Multikontursitz_BFS_Wildmoser-Leckage_Fehlerschwelle_Druck,No Response From Subnet Component,20
ENG133365-ENG133453-Multikontursitz_BFS_Wildmoser-Nachentlueftzeit_LRD_mitte,No Response From Subnet Component,20
ENG133365-ENG133452-Multikontursitz_BFS_Wildmoser-Nachentlueftzeit_LRD_oben,No Response From Subnet Component,20
ENG133365-ENG133454-Multikontursitz_BFS_Wildmoser-Nachentlueftzeit_LRD_unten,No Response From Subnet Component,20
ENG133365-ENG133455-Multikontursitz_BFS_Wildmoser-Nachentlueftzeit_Seitenwangen,No Response From Subnet Component,20
ENG133365-ENG133448-Multikontursitz_BFS_Wildmoser-Nachregelung_PWM_1,No Response From Subnet Component,20
ENG133365-ENG133449-Multikontursitz_BFS_Wildmoser-Nachregelung_PWM_2,No Response From Subnet Component,20
ENG133365-ENG133450-Multikontursitz_BFS_Wildmoser-Nachregelung_PWM_3,No Response From Subnet Component,20
ENG133365-ENG133446-Multikontursitz_BFS_Wildmoser-Schwellwert_Temperaturkompensation,No Response From Subnet Component,20
ENG133362-ENG133451-Multikontursitz_FS_Wildmoser-Differenzdruck_Toleranzband,No Response From Subnet Component,20
ENG133362-ENG133447-Multikontursitz_FS_Wildmoser-Leckage_Fehlerschwelle_Druck,No Response From Subnet Component,20
ENG133362-ENG133453-Multikontursitz_FS_Wildmoser-Nachentlueftzeit_LRD_mitte,No Response From Subnet Component,20
ENG133362-ENG133452-Multikontursitz_FS_Wildmoser-Nachentlueftzeit_LRD_oben,No Response From Subnet Component,20
ENG133362-ENG133454-Multikontursitz_FS_Wildmoser-Nachentlueftzeit_LRD_unten,No Response From Subnet Component,20
ENG133362-ENG133455-Multikontursitz_FS_Wildmoser-Nachentlueftzeit_Seitenwangen,No Response From Subnet Component,20
ENG133362-ENG133448-Multikontursitz_FS_Wildmoser-Nachregelung_PWM_1,No Response From Subnet Component,20
ENG133362-ENG133449-Multikontursitz_FS_Wildmoser-Nachregelung_PWM_2,No Response From Subnet Component,20
ENG133362-ENG133450-Multikontursitz_FS_Wildmoser-Nachregelung_PWM_3,No Response From Subnet Component,20
ENG133362-ENG133446-Multikontursitz_FS_Wildmoser-Schwellwert_Temperaturkompensation,No Response From Subnet Component,20
ENG122979-ENG141954-Networking-A/C electronics,installed ,8
ENG122979-ENG141968-Networking-Anhaengeranschlussgeraet,not installed ,8
ENG122979-ENG141974-Networking-Bremsen_Steuergeraet,installed ,8
ENG122979-ENG141953-Networking-Getriebesteuergeraet,installed ,8
ENG122979-ENG99457-Networking-Head area heater,not installed ,8
ENG122979-ENG142040-Networking-Kunden_spezifisches_Funktions_SG,not installed ,8
ENG122979-ENG141969-Networking-UGDO,not installed ,8
ENG124714-ENG142044-OCU-DWA_push,active ,8
ENG124714-ENG142260-OCU-Honk DWA_Ausgabe_Fanfare,active ,8
ENG124714-OCU-,installed ,8
ENG124714-ENG142261-OCU-Remote HuF Abbruch,20 km/h,8
ENG124714-ENG142262-OCU-Remote HuF Hupfrequenz,3 Hz,8
ENG124714-ENG133391-OCU-Remote Lock Unlock Timer s1,80 s,8
ENG124714-ENG133392-OCU-Remote Lock Unlock Timer s3,2000 ms,8
ENG124714-ENG125657-OCU-Remote_Unlock_Lock,Via BAP / Fazit ,8
ENG125598-ENG125667-Passenger_massage_program_1_Intensity_1-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125691-Passenger_massage_program_1_Intensity_1-EE_pMax_LO_MSG_Px_I,No Response From Subnet Component,8
ENG125598-ENG125668-Passenger_massage_program_1_Intensity_1-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125673-Passenger_massage_program_1_Intensity_1-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125672-Passenger_massage_program_1_Intensity_1-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125674-Passenger_massage_program_1_Intensity_1-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125670-Passenger_massage_program_1_Intensity_1-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125669-Passenger_massage_program_1_Intensity_1-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125671-Passenger_massage_program_1_Intensity_1-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125676-Passenger_massage_program_1_Intensity_1-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125675-Passenger_massage_program_1_Intensity_1-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125677-Passenger_massage_program_1_Intensity_1-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125664-Passenger_massage_program_1_Intensity_1-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125663-Passenger_massage_program_1_Intensity_1-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125598-ENG125665-Passenger_massage_program_1_Intensity_1-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125667-Passenger_massage_program_1_Intensity_2-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125666-Passenger_massage_program_1_Intensity_2-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125668-Passenger_massage_program_1_Intensity_2-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125673-Passenger_massage_program_1_Intensity_2-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125672-Passenger_massage_program_1_Intensity_2-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125674-Passenger_massage_program_1_Intensity_2-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125670-Passenger_massage_program_1_Intensity_2-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125669-Passenger_massage_program_1_Intensity_2-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125671-Passenger_massage_program_1_Intensity_2-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125676-Passenger_massage_program_1_Intensity_2-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125675-Passenger_massage_program_1_Intensity_2-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125677-Passenger_massage_program_1_Intensity_2-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125664-Passenger_massage_program_1_Intensity_2-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125663-Passenger_massage_program_1_Intensity_2-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125599-ENG125665-Passenger_massage_program_1_Intensity_2-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125667-Passenger_massage_program_1_Intensity_3-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125666-Passenger_massage_program_1_Intensity_3-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125668-Passenger_massage_program_1_Intensity_3-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125673-Passenger_massage_program_1_Intensity_3-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125672-Passenger_massage_program_1_Intensity_3-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125674-Passenger_massage_program_1_Intensity_3-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125670-Passenger_massage_program_1_Intensity_3-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125669-Passenger_massage_program_1_Intensity_3-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125671-Passenger_massage_program_1_Intensity_3-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125676-Passenger_massage_program_1_Intensity_3-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125675-Passenger_massage_program_1_Intensity_3-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125677-Passenger_massage_program_1_Intensity_3-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125692-Passenger_massage_program_1_Intensity_3-EE_Upumpe_LM_MSG_Px_I,No Response From Subnet Component,8
ENG125600-ENG125663-Passenger_massage_program_1_Intensity_3-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125600-ENG125665-Passenger_massage_program_1_Intensity_3-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125667-Passenger_massage_program_2_Intensity_1-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125666-Passenger_massage_program_2_Intensity_1-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125668-Passenger_massage_program_2_Intensity_1-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125673-Passenger_massage_program_2_Intensity_1-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125672-Passenger_massage_program_2_Intensity_1-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125674-Passenger_massage_program_2_Intensity_1-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125670-Passenger_massage_program_2_Intensity_1-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125669-Passenger_massage_program_2_Intensity_1-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125671-Passenger_massage_program_2_Intensity_1-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125676-Passenger_massage_program_2_Intensity_1-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125675-Passenger_massage_program_2_Intensity_1-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125677-Passenger_massage_program_2_Intensity_1-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125664-Passenger_massage_program_2_Intensity_1-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125663-Passenger_massage_program_2_Intensity_1-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125601-ENG125665-Passenger_massage_program_2_Intensity_1-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125667-Passenger_massage_program_2_Intensity_2-EE_pMax_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125666-Passenger_massage_program_2_Intensity_2-EE_pMax_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125668-Passenger_massage_program_2_Intensity_2-EE_pMax_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125673-Passenger_massage_program_2_Intensity_2-EE_tEnt_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125672-Passenger_massage_program_2_Intensity_2-EE_tEnt_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125674-Passenger_massage_program_2_Intensity_2-EE_tEnt_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125670-Passenger_massage_program_2_Intensity_2-EE_tHalte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125669-Passenger_massage_program_2_Intensity_2-EE_tHalte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125671-Passenger_massage_program_2_Intensity_2-EE_tHalte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125676-Passenger_massage_program_2_Intensity_2-EE_tWarte_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125675-Passenger_massage_program_2_Intensity_2-EE_tWarte_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125677-Passenger_massage_program_2_Intensity_2-EE_tWarte_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125664-Passenger_massage_program_2_Intensity_2-EE_Upumpe_LM_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125663-Passenger_massage_program_2_Intensity_2-EE_Upumpe_LO_MSG_Px_Iy,No Response From Subnet Component,8
ENG125602-ENG125665-Passenger_massage_program_2_Intensity_2-EE_Upumpe_LU_MSG_Px_Iy,No Response From Subnet Component,8
ENG133367-ENG133507-Passenger_multi-contour_seat_Error_Mask-ERROR_CODE_PIN,No Response From Subnet Component,8
ENG133367-ENG133526-Passenger_multi-contour_seat_Error_Mask-ERROR_EEPROM,No Response From Subnet Component,8
ENG133367-ENG133528-Passenger_multi-contour_seat_Error_Mask-ERROR_HW_VERSION,No Response From Subnet Component,8
ENG133367-ENG133500-Passenger_multi-contour_seat_Error_Mask-ERROR_LUMB1_CTRL_LEAK,No Response From Subnet Component,8
ENG133367-ENG133499-Passenger_multi-contour_seat_Error_Mask-ERROR_LUMB1_LEAK,No Response From Subnet Component,8
ENG133367-ENG133502-Passenger_multi-contour_seat_Error_Mask-ERROR_LUMB2_CTRL_LEAK,No Response From Subnet Component,8
ENG133367-ENG133501-Passenger_multi-contour_seat_Error_Mask-ERROR_LUMB2_LEAK,No Response From Subnet Component,8
ENG133367-ENG133504-Passenger_multi-contour_seat_Error_Mask-ERROR_LUMB3_CTRL_LEAK,No Response From Subnet Component,8
ENG133367-ENG133503-Passenger_multi-contour_seat_Error_Mask-ERROR_LUMB3_LEAK,No Response From Subnet Component,8
ENG133367-ENG133511-Passenger_multi-contour_seat_Error_Mask-ERROR_PUMP_BLOCK,No Response From Subnet Component,8
ENG133367-ENG133508-Passenger_multi-contour_seat_Error_Mask-ERROR_PUMP_OPEN,No Response From Subnet Component,8
ENG133367-ENG133509-Passenger_multi-contour_seat_Error_Mask-ERROR_PUMP_SHORT_GND,No Response From Subnet Component,8
ENG133367-ENG133510-Passenger_multi-contour_seat_Error_Mask-ERROR_PUMP_SHORT_UB,No Response From Subnet Component,8
ENG133367-ENG133524-Passenger_multi-contour_seat_Error_Mask-ERROR_RAM,No Response From Subnet Component,8
ENG133367-ENG133525-Passenger_multi-contour_seat_Error_Mask-ERROR_ROM,No Response From Subnet Component,8
ENG133367-ENG133506-Passenger_multi-contour_seat_Error_Mask-ERROR_SIDE_CTRL_LEAK,No Response From Subnet Component,8
ENG133367-ENG133505-Passenger_multi-contour_seat_Error_Mask-ERROR_SIDE_LEAK,No Response From Subnet Component,8
ENG133367-ENG133531-Passenger_multi-contour_seat_Error_Mask-ERROR_SIG_RESPONSE,No Response From Subnet Component,8
ENG133367-ENG133512-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_BLOCK_1,No Response From Subnet Component,8
ENG133367-ENG133515-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_BLOCK_2,No Response From Subnet Component,8
ENG133367-ENG133518-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_BLOCK_3,No Response From Subnet Component,8
ENG133367-ENG133521-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_BLOCK_4,No Response From Subnet Component,8
ENG133367-ENG133513-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_SHORT_1,No Response From Subnet Component,8
ENG133367-ENG133516-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_SHORT_2,No Response From Subnet Component,8
ENG133367-ENG133519-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_SHORT_3,No Response From Subnet Component,8
ENG133367-ENG133522-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_SHORT_4,No Response From Subnet Component,8
ENG133367-ENG133514-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_UNPLAUS_1,No Response From Subnet Component,8
ENG133367-ENG133517-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_UNPLAUS_2,No Response From Subnet Component,8
ENG133367-ENG133520-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_UNPLAUS_3,No Response From Subnet Component,8
ENG133367-ENG133523-Passenger_multi-contour_seat_Error_Mask-ERROR_SWITCH_UNPLAUS_4,No Response From Subnet Component,8
ENG133367-ENG133529-Passenger_multi-contour_seat_Error_Mask-ERROR_VOLTAGE_HIGH,No Response From Subnet Component,8
ENG133367-ENG133530-Passenger_multi-contour_seat_Error_Mask-ERROR_VOLTAGE_LOW,No Response From Subnet Component,8
ENG133367-ENG133527-Passenger_multi-contour_seat_Error_Mask-ERROR_WDT,No Response From Subnet Component,8
ENG98831-ENG126849-Personalization-Aktivierungsoption_im_HMI-Menue_sichtbar,active ,16
ENG98831-ENG133401-Personalization-Anzahl_Benutzerkonten,4 ,16
ENG98831-ENG133402-Personalization-Automatische_ Schluesselzuordnung,not active ,16
ENG98831-ENG126850-Personalization-Benutzerkontenverwaltung_in_HMI-Menue_sichtbar,active ,16
ENG98831-ENG126848-Personalization-Personalisierung_aktiv,active ,16
ENG98831-ENG141994-Personalization-Personalisierung_Profilfunkion,profiles_active ,16
ENG98831-ENG126851-Personalization-Personalisierungsfunktionen_in_HMI-Menue_sichtbar,active ,16
ENG98831-ENG142030-Personalization-Profil_Variante,Konto (v. 1.x) ,16
ENG98831-ENG133404-Personalization-PSO_FSG_Setup2_Bit_1,active ,16
ENG98831-ENG133405-Personalization-PSO_FSG_Setup2_Bit_2,active ,16
ENG98831-ENG133406-Personalization-PSO_FSG_Setup2_Bit_3,not active ,16
ENG98831-ENG133407-Personalization-PSO_FSG_Setup2_Bit_4,not active ,16
ENG141646-MAS01065-Querschnitts_funktionen-Brand,VW ,5
ENG141646-ENG141980-Querschnitts_funktionen-Bedien_und_Anzeigeprotokoll,active ,5
ENG141646-ENG116624-Querschnitts_funktionen-CAN Wecken bei Softtouchbetaetigung,active ,5
ENG141646-ENG141967-Querschnitts_funktionen-Codierungsabsicherung,not active ,5
ENG141646-ENG142028-Querschnitts_funktionen-Fahrgeschwindigkeit_aus_ESP_21,active ,5
ENG141646-ENG142187-Querschnitts_funktionen-Hardware_Eingang_Drucktankklappenstatus,Pin A31 ,5
ENG141646-ENG154685-Querschnitts_funktionen-Hupe,Sollspannungsanforderung 13.5 ,5
ENG141646-ENG115810-Querschnitts_funktionen-Klemmenfehler auf CAN ausgeben,active ,5
ENG141646-ENG142015-Querschnitts_funktionen-Personalisierungsuebernahme,not_installed ,5
ENG141646-ENG141983-Querschnitts_funktionen-Schnittstelle_TrackingSystem,not active ,5
ENG141646-ENG141964-Querschnitts_funktionen-Steering alignment,Left ,5
ENG141646-ENG141965-Querschnitts_funktionen-Traffic side,Right ,5
ENG125614-Reset_Blower_1_Backrest_Left,No Response From Subnet Component,5
ENG125615-Reset_Blower_1_Backrest_Right,No Response From Subnet Component,5
ENG125613-Reset_Blower_1_Cushion_Left,No Response From Subnet Component,5
ENG125616-Reset_Blower_1_Cushion_Right,No Response From Subnet Component,5
ENG122927-RLS_close_glazing,2.0 s,1
ENG122928-ENG121637-RLS_lights_for_autobahn-p_t_autobahn_delay_off,120 s,3
ENG122928-ENG121636-RLS_lights_for_autobahn-p_t_autobahn_delay_on,10 s,3
ENG122928-ENG121635-RLS_lights_for_autobahn-p_v_autobahn_off,65 km/h,3
ENG122928-ENG121634-RLS_lights_for_autobahn-p_v_autobahn_on,140 km/h,3
ENG122931-ENG123004-RLS_Lights_on_at_Rain-p_lx_regenlichtschwelle,6000 lx,2
ENG122931-ENG123002-RLS_Lights_on_at_Rain-p_n_regenlichtschwelle_high,12 ,2
ENG122931-ENG123003-RLS_Lights_on_at_Rain-p_n_regenlichtschwelle_low,6 ,2
ENG122931-ENG123005-RLS_Lights_on_at_Rain-p_t_regenlicht,30 s,2
ENG122929-RLS_LIN_Communication,4 s,1
ENG122932-ENG123007-RLS_Night_Sensitivity-p_lx_rs_dawn,200 lx,1
ENG122932-ENG123006-RLS_Night_Sensitivity-p_lx_rs_day,500 lx,1
ENG122930-RLS_tunel_gateway_recognize,5 s,1
ENG122935-RLS_Washer_Front,15 s,1
ENG122926-RLS_wiper_position_parking,15 s,1
ENG115729-ENG116609-Scheinwerferreinigung-Anzahl Betaetigungen Frontwaschanlage pro SRA Aktivierung,10 ,10
ENG115729-ENG141949-Scheinwerferreinigung-Headlamp washer system,installed ,10
ENG115729-ENG115769-Scheinwerferreinigung-SRA bei Waschwassermangel,active ,10
ENG115729-ENG115767-Scheinwerferreinigung-SRA Einweichpausenzeit,2000 ms,10
ENG115729-ENG115768-Scheinwerferreinigung-SRA Nachwaschzeit,400 ms,10
ENG115729-ENG116611-Scheinwerferreinigung-SRA Pausenzeit,0 ms,10
ENG115729-ENG116610-Scheinwerferreinigung-SRA Verzoegerungszeit,0 ms,10
ENG115729-ENG115766-Scheinwerferreinigung-SRA Waschzeit,400 ms,10
ENG115729-ENG154424-Scheinwerferreinigung-Waschen,Keine_Spannungsanforderung ,10
ENG141684-SFT271873-Slave_systems_identification-Wiper motor control module,Not available ,6
ENG141684-SFT271874-Slave_systems_identification-Rain/Light Recognition Sensor,Not available ,6
ENG141684-SFT271875-Slave_systems_identification-Light switch,Not available ,6
ENG141684-SFT271876-Slave_systems_identification-Garage door opener control module,Not available ,6
ENG141684-SFT271877-Slave_systems_identification-Garage door opener control head,Not available ,6
ENG141684-SFT271894-Slave_systems_identification-Anti-theft alarm system sensor,Not available ,6
ENG141684-SFT271896-Slave_systems_identification-Alarm horn,Not available ,6
ENG141684-SFT271904-Slave_systems_identification-Sunroof control module,Not available ,6
ENG141684-SFT271910-Slave_systems_identification-Roof electronics control module,Not available ,6
ENG141684-SFT271928-Slave_systems_identification-Roof shade control module,Not available ,6
