;SW:5Q0-937-084-CP   HW:5Q0-937-084-CF ---  Cent. Elect.
;Component:BCM MQBAB M+  H36 0253, Coding:000000000000000000000000000000000000000000000000000000000000
ENG116959-ENG116311-Leuchte23SL HLC10-Fehlerort mittleres Byte DTC-DFCC 23,29 ,16
ENG116959-ENG116575-Leuchte23SL HLC10-Lampendefektbitposition 23,0A ,16
ENG116959-ENG116309-Leuchte23SL HLC10-Lasttyp 23,43 - allgemeine LED ,16
ENG116959-ENG116315-Leuchte23SL HLC10-Lichtansteuerung HD AB 23,Always ,16
ENG116959-ENG116312-Leuchte23SL HLC10-Lichtfunktion A 23,Standlicht allgemein (Schlusslicht: Positionslicht: Begrenzungslicht) ,16
ENG116959-ENG116313-Leuchte23SL HLC10-Lichtfunktion B 23,Parklicht links (beidseitiges Parklicht aktiviert li & re) ,16
ENG116959-ENG116316-Leuchte23SL HLC10-Lichtfunktion C 23,not active ,16
ENG116959-ENG116317-Leuchte23SL HLC10-Lichtfunktion D 23,not active ,16
ENG116959-ENG116320-Leuchte23SL HLC10-Lichtfunktion E 23,not active ,16
ENG116959-ENG116321-Leuchte23SL HLC10-Lichtfunktion F 23,not active ,16
ENG116959-ENG116324-Leuchte23SL HLC10-Lichtfunktion G 23,not active ,16
ENG116959-ENG116325-Leuchte23SL HLC10-Lichtfunktion H 23,not active ,16
ENG116960-ENG116338-Leuchte24SL HRA65-Dimming Direction CD 24,maximize ,16
ENG116960-ENG116342-Leuchte24SL HRA65-Dimming Direction EF 24,maximize ,16
ENG116960-ENG116346-Leuchte24SL HRA65-Dimming Direction GH 24,maximize ,16
ENG116960-ENG116333-Leuchte24SL HRA65-Dimmwert AB 24,127 ,16
ENG116960-ENG116337-Leuchte24SL HRA65-Dimmwert CD 24,0 ,16
ENG116960-ENG116341-Leuchte24SL HRA65-Dimmwert EF 24,0 ,16
ENG116960-ENG116345-Leuchte24SL HRA65-Dimmwert GH 24,0 ,16
ENG116960-ENG116330-Leuchte24SL HRA65-Fehlerort mittleres Byte DTC-DFCC 24,2A ,16
ENG116960-ENG116576-Leuchte24SL HRA65-Lampendefektbitposition 24,1A ,16
ENG116960-ENG116328-Leuchte24SL HRA65-Lasttyp 24,43 - allgemeine LED ,16
ENG116960-ENG116334-Leuchte24SL HRA65-Lichtansteuerung HD AB 24,Always ,16
ENG116960-ENG116331-Leuchte24SL HRA65-Lichtfunktion A 24,Standlicht allgemein (Schlusslicht: Positionslicht: Begrenzungslicht) ,16
ENG116960-ENG116332-Leuchte24SL HRA65-Lichtfunktion B 24,Parking light right ,16
ENG116960-ENG116335-Leuchte24SL HRA65-Lichtfunktion C 24,not active ,16
ENG116960-ENG116336-Leuchte24SL HRA65-Lichtfunktion D 24,not active ,16
ENG116960-ENG116339-Leuchte24SL HRA65-Lichtfunktion E 24,not active ,16
ENG116960-ENG116340-Leuchte24SL HRA65-Lichtfunktion F 24,not active ,16
ENG116960-ENG116343-Leuchte24SL HRA65-Lichtfunktion G 24,not active ,16
ENG116960-ENG116344-Leuchte24SL HRA65-Lichtfunktion H 24,not active ,16
ENG116961-ENG116357-Leuchte25KZL HA59-Dimming Direction CD 25,maximize ,16
ENG116961-ENG116361-Leuchte25KZL HA59-Dimming Direction EF 25,maximize ,16
ENG116961-ENG116365-Leuchte25KZL HA59-Dimming Direction GH 25,maximize ,16
ENG116961-ENG116352-Leuchte25KZL HA59-Dimmwert AB 25,127 ,16
ENG116961-ENG116356-Leuchte25KZL HA59-Dimmwert CD 25,0 ,16
ENG116961-ENG116360-Leuchte25KZL HA59-Dimmwert EF 25,0 ,16
ENG116961-ENG116364-Leuchte25KZL HA59-Dimmwert GH 25,0 ,16
ENG116961-ENG116349-Leuchte25KZL HA59-Fehlerort mittleres Byte DTC-DFCC 25,30 ,16
ENG116961-ENG116577-Leuchte25KZL HA59-Lampendefektbitposition 25,28 ,16
ENG116961-ENG116347-Leuchte25KZL HA59-Lasttyp 25,43 - allgemeine LED ,16
ENG116961-ENG116353-Leuchte25KZL HA59-Lichtansteuerung HD AB 25,Always ,16
ENG116961-ENG116350-Leuchte25KZL HA59-Lichtfunktion A 25,Standlicht allgemein (Schlusslicht: Positionslicht: Begrenzungslicht) ,16
ENG116961-ENG116351-Leuchte25KZL HA59-Lichtfunktion B 25,not active ,16
ENG116961-ENG116354-Leuchte25KZL HA59-Lichtfunktion C 25,not active ,16
ENG116961-ENG116355-Leuchte25KZL HA59-Lichtfunktion D 25,not active ,16
ENG116961-ENG116358-Leuchte25KZL HA59-Lichtfunktion E 25,not active ,16
ENG116961-ENG116359-Leuchte25KZL HA59-Lichtfunktion F 25,not active ,16
ENG116961-ENG116362-Leuchte25KZL HA59-Lichtfunktion G 25,not active ,16
ENG116961-ENG116363-Leuchte25KZL HA59-Lichtfunktion H 25,not active ,16
ENG116962-ENG116376-Leuchte26NSL LA72-Dimming Direction CD 26,maximize ,16
ENG116962-ENG116380-Leuchte26NSL LA72-Dimming Direction EF 26,maximize ,16
ENG116962-ENG116384-Leuchte26NSL LA72-Dimming Direction GH 26,maximize ,16
ENG116962-ENG116371-Leuchte26NSL LA72-Dimmwert AB 26,127 ,16
ENG116962-ENG116375-Leuchte26NSL LA72-Dimmwert CD 26,0 ,16
ENG116962-ENG116379-Leuchte26NSL LA72-Dimmwert EF 26,0 ,16
ENG116962-ENG116383-Leuchte26NSL LA72-Dimmwert GH 26,0 ,16
ENG116962-ENG116368-Leuchte26NSL LA72-Fehlerort mittleres Byte DTC-DFCC 26,2E ,16
ENG116962-ENG116578-Leuchte26NSL LA72-Lampendefektbitposition 26,0C ,16
ENG116962-ENG116366-Leuchte26NSL LA72-Lasttyp 26,43 - allgemeine LED ,16
ENG116962-ENG116372-Leuchte26NSL LA72-Lichtansteuerung HD AB 26,only_if_closed ,16
ENG116962-ENG116369-Leuchte26NSL LA72-Lichtfunktion A 26,Nebelschlusslicht wenn kein Anhaenger gesteckt und Rechtsverkehr ,16
ENG116962-ENG116370-Leuchte26NSL LA72-Lichtfunktion B 26,not active ,16
ENG116962-ENG116373-Leuchte26NSL LA72-Lichtfunktion C 26,not active ,16
ENG116962-ENG116374-Leuchte26NSL LA72-Lichtfunktion D 26,not active ,16
ENG116962-ENG116377-Leuchte26NSL LA72-Lichtfunktion E 26,not active ,16
ENG116962-ENG116378-Leuchte26NSL LA72-Lichtfunktion F 26,not active ,16
ENG116962-ENG116381-Leuchte26NSL LA72-Lichtfunktion G 26,not active ,16
ENG116962-ENG116382-Leuchte26NSL LA72-Lichtfunktion H 26,not active ,16
ENG116963-ENG116395-Leuchte27NSL RC6-Dimming Direction CD 27,maximize ,16
ENG116963-ENG116399-Leuchte27NSL RC6-Dimming Direction EF 27,maximize ,16
ENG116963-ENG116403-Leuchte27NSL RC6-Dimming Direction GH 27,maximize ,16
ENG116963-ENG116390-Leuchte27NSL RC6-Dimmwert AB 27,0 ,16
ENG116963-ENG116394-Leuchte27NSL RC6-Dimmwert CD 27,0 ,16
ENG116963-ENG116398-Leuchte27NSL RC6-Dimmwert EF 27,0 ,16
ENG116963-ENG116402-Leuchte27NSL RC6-Dimmwert GH 27,0 ,16
ENG116963-ENG116387-Leuchte27NSL RC6-Fehlerort mittleres Byte DTC-DFCC 27,00 ,16
ENG116963-ENG116579-Leuchte27NSL RC6-Lampendefektbitposition 27,00 ,16
ENG116963-ENG116385-Leuchte27NSL RC6-Lasttyp 27,not active ,16
ENG116963-ENG116391-Leuchte27NSL RC6-Lichtansteuerung HD AB 27,Always ,16
ENG116963-ENG116388-Leuchte27NSL RC6-Lichtfunktion A 27,not active ,16
ENG116963-ENG116389-Leuchte27NSL RC6-Lichtfunktion B 27,not active ,16
ENG116963-ENG116392-Leuchte27NSL RC6-Lichtfunktion C 27,not active ,16
ENG116963-ENG116393-Leuchte27NSL RC6-Lichtfunktion D 27,not active ,16
ENG116963-ENG116396-Leuchte27NSL RC6-Lichtfunktion E 27,not active ,16
ENG116963-ENG116397-Leuchte27NSL RC6-Lichtfunktion F 27,not active ,16
ENG116963-ENG116400-Leuchte27NSL RC6-Lichtfunktion G 27,not active ,16
ENG116963-ENG116401-Leuchte27NSL RC6-Lichtfunktion H 27,not active ,16
ENG116964-ENG116414-Leuchte28RFL LC11-Dimming Direction CD 28,maximize ,16
ENG116964-ENG116418-Leuchte28RFL LC11-Dimming Direction EF 28,maximize ,16
ENG116964-ENG116422-Leuchte28RFL LC11-Dimming Direction GH 28,maximize ,16
ENG116964-ENG116409-Leuchte28RFL LC11-Dimmwert AB 28,127 ,16
ENG116964-ENG116413-Leuchte28RFL LC11-Dimmwert CD 28,0 ,16
ENG116964-ENG116417-Leuchte28RFL LC11-Dimmwert EF 28,0 ,16
ENG116964-ENG116421-Leuchte28RFL LC11-Dimmwert GH 28,0 ,16
ENG116964-ENG116406-Leuchte28RFL LC11-Fehlerort mittleres Byte DTC-DFCC 28,31 ,16
ENG116964-ENG116580-Leuchte28RFL LC11-Lampendefektbitposition 28,0B ,16
ENG116964-ENG116404-Leuchte28RFL LC11-Lasttyp 28,43 - allgemeine LED ,16
ENG116964-ENG116410-Leuchte28RFL LC11-Lichtansteuerung HD AB 28,only_if_closed ,16
ENG116964-ENG116407-Leuchte28RFL LC11-Lichtfunktion A 28,Rueckfahrlicht ,16
ENG116964-ENG116408-Leuchte28RFL LC11-Lichtfunktion B 28,not active ,16
ENG116964-ENG116411-Leuchte28RFL LC11-Lichtfunktion C 28,not active ,16
ENG116964-ENG116412-Leuchte28RFL LC11-Lichtfunktion D 28,not active ,16
ENG116964-ENG116415-Leuchte28RFL LC11-Lichtfunktion E 28,not active ,16
ENG116964-ENG116416-Leuchte28RFL LC11-Lichtfunktion F 28,not active ,16
ENG116964-ENG116419-Leuchte28RFL LC11-Lichtfunktion G 28,not active ,16
ENG116964-ENG116420-Leuchte28RFL LC11-Lichtfunktion H 28,not active ,16
ENG116965-ENG116433-Leuchte29RFL RA64-Dimming Direction CD 29,maximize ,16
ENG116965-ENG116437-Leuchte29RFL RA64-Dimming Direction EF 29,maximize ,16
ENG116965-ENG116441-Leuchte29RFL RA64-Dimming Direction GH 29,maximize ,16
ENG116965-ENG116428-Leuchte29RFL RA64-Dimmwert AB 29,127 ,16
ENG116965-ENG116432-Leuchte29RFL RA64-Dimmwert CD 29,0 ,16
ENG116965-ENG116436-Leuchte29RFL RA64-Dimmwert EF 29,0 ,16
ENG116965-ENG116440-Leuchte29RFL RA64-Dimmwert GH 29,0 ,16
ENG116965-ENG116425-Leuchte29RFL RA64-Fehlerort mittleres Byte DTC-DFCC 29,32 ,16
ENG116965-ENG116581-Leuchte29RFL RA64-Lampendefektbitposition 29,1B ,16
ENG116965-ENG116423-Leuchte29RFL RA64-Lasttyp 29,43 - allgemeine LED ,16
ENG116965-ENG116430-Leuchte29RFL RA64-Lichtansteuerung HD AB 29,only_if_closed ,16
ENG116965-ENG116426-Leuchte29RFL RA64-Lichtfunktion A 29,Rueckfahrlicht ,16
ENG116965-ENG116427-Leuchte29RFL RA64-Lichtfunktion B 29,not active ,16
ENG116965-ENG116429-Leuchte29RFL RA64-Lichtfunktion C 29,not active ,16
ENG116965-ENG116431-Leuchte29RFL RA64-Lichtfunktion D 29,not active ,16
ENG116965-ENG116434-Leuchte29RFL RA64-Lichtfunktion E 29,not active ,16
ENG116965-ENG116435-Leuchte29RFL RA64-Lichtfunktion F 29,not active ,16
ENG116965-ENG116438-Leuchte29RFL RA64-Lichtfunktion G 29,not active ,16
ENG116965-ENG116439-Leuchte29RFL RA64-Lichtfunktion H 29,not active ,16
ENG116938-ENG115920-Leuchte2SL VLB10-Dimming Direction CD 2,maximize ,16
ENG116938-ENG115924-Leuchte2SL VLB10-Dimming Direction EF 2,maximize ,16
ENG116938-ENG115928-Leuchte2SL VLB10-Dimming Direction GH 2,maximize ,16
ENG116938-ENG115915-Leuchte2SL VLB10-Dimmwert AB 2,0 ,16
ENG116938-ENG115919-Leuchte2SL VLB10-Dimmwert CD 2,0 ,16
ENG116938-ENG115923-Leuchte2SL VLB10-Dimmwert EF 2,0 ,16
ENG116938-ENG115927-Leuchte2SL VLB10-Dimmwert GH 2,0 ,16
ENG116938-ENG115912-Leuchte2SL VLB10-Fehlerort mittleres Byte DTC-DFCC 2,00 ,16
ENG116938-ENG116550-Leuchte2SL VLB10-Lampendefektbitposition 2,00 ,16
ENG116938-ENG115910-Leuchte2SL VLB10-Lasttyp 2,not active ,16
ENG116938-ENG115916-Leuchte2SL VLB10-Lichtansteuerung HD AB 2,Always ,16
ENG116938-ENG115913-Leuchte2SL VLB10-Lichtfunktion A 2,not active ,16
ENG116938-ENG115914-Leuchte2SL VLB10-Lichtfunktion B 2,not active ,16
ENG116938-ENG115917-Leuchte2SL VLB10-Lichtfunktion C 2,not active ,16
ENG116938-ENG115918-Leuchte2SL VLB10-Lichtfunktion D 2,not active ,16
ENG116938-ENG115921-Leuchte2SL VLB10-Lichtfunktion E 2,not active ,16
ENG116938-ENG115922-Leuchte2SL VLB10-Lichtfunktion F 2,not active ,16
ENG116938-ENG115925-Leuchte2SL VLB10-Lichtfunktion G 2,not active ,16
ENG116938-ENG115926-Leuchte2SL VLB10-Lichtfunktion H 2,not active ,16
ENG116966-ENG116452-Leuchte30FR LC72-Dimming Direction CD 30,maximize ,16
ENG116966-ENG116456-Leuchte30FR LC72-Dimming Direction EF 30,maximize ,16
ENG116966-ENG116460-Leuchte30FR LC72-Dimming Direction GH 30,maximize ,16
ENG116966-ENG116447-Leuchte30FR LC72-Dimmwert AB 30,0 ,16
ENG116966-ENG116451-Leuchte30FR LC72-Dimmwert CD 30,0 ,16
ENG116966-ENG116455-Leuchte30FR LC72-Dimmwert EF 30,0 ,16
ENG116966-ENG116459-Leuchte30FR LC72-Dimmwert GH 30,0 ,16
ENG116966-ENG116444-Leuchte30FR LC72-Fehlerort mittleres Byte DTC-DFCC 30,00 ,16
ENG116966-ENG116582-Leuchte30FR LC72-Lampendefektbitposition 30,00 ,16
ENG116966-ENG116442-Leuchte30FR LC72-Lasttyp 30,not active ,16
ENG116966-ENG116448-Leuchte30FR LC72-Lichtansteuerung HD AB 30,Always ,16
ENG116966-ENG116445-Leuchte30FR LC72-Lichtfunktion A 30,not active ,16
ENG116966-ENG116446-Leuchte30FR LC72-Lichtfunktion B 30,not active ,16
ENG116966-ENG116449-Leuchte30FR LC72-Lichtfunktion C 30,not active ,16
ENG116966-ENG116450-Leuchte30FR LC72-Lichtfunktion D 30,not active ,16
ENG116966-ENG116453-Leuchte30FR LC72-Lichtfunktion E 30,not active ,16
ENG116966-ENG116454-Leuchte30FR LC72-Lichtfunktion F 30,not active ,16
ENG116966-ENG116457-Leuchte30FR LC72-Lichtfunktion G 30,not active ,16
ENG116966-ENG116458-Leuchte30FR LC72-Lichtfunktion H 30,not active ,16
ENG116967-ENG116471-Leuchte31AMBL 1C61-Dimming Direction CD 31,maximize ,16
ENG116967-ENG116475-Leuchte31AMBL 1C61-Dimming Direction EF 31,maximize ,16
ENG116967-ENG116479-Leuchte31AMBL 1C61-Dimming Direction GH 31,maximize ,16
ENG116967-ENG116466-Leuchte31AMBL 1C61-Dimmwert AB 31,0 ,16
ENG116967-ENG116470-Leuchte31AMBL 1C61-Dimmwert CD 31,0 ,16
ENG116967-ENG116474-Leuchte31AMBL 1C61-Dimmwert EF 31,0 ,16
ENG116967-ENG116478-Leuchte31AMBL 1C61-Dimmwert GH 31,0 ,16
ENG116967-ENG116463-Leuchte31AMBL 1C61-Fehlerort mittleres Byte DTC-DFCC 31,00 ,16
ENG116967-ENG116583-Leuchte31AMBL 1C61-Lampendefektbitposition 31,00 ,16
ENG116967-ENG116461-Leuchte31AMBL 1C61-Lasttyp 31,not active ,16
ENG116967-ENG116467-Leuchte31AMBL 1C61-Lichtansteuerung HD AB 31,Always ,16
ENG116967-ENG116464-Leuchte31AMBL 1C61-Lichtfunktion A 31,not active ,16
ENG116967-ENG116465-Leuchte31AMBL 1C61-Lichtfunktion B 31,not active ,16
ENG116967-ENG116468-Leuchte31AMBL 1C61-Lichtfunktion C 31,not active ,16
ENG116967-ENG116469-Leuchte31AMBL 1C61-Lichtfunktion D 31,not active ,16
ENG116967-ENG116472-Leuchte31AMBL 1C61-Lichtfunktion E 31,not active ,16
ENG116967-ENG116473-Leuchte31AMBL 1C61-Lichtfunktion F 31,not active ,16
ENG116967-ENG116476-Leuchte31AMBL 1C61-Lichtfunktion G 31,not active ,16
ENG116967-ENG116477-Leuchte31AMBL 1C61-Lichtfunktion H 31,not active ,16
ENG116968-ENG116490-Leuchte32AMBL 2C35-Dimming Direction CD 32,maximize ,16
ENG116968-ENG116494-Leuchte32AMBL 2C35-Dimming Direction EF 32,maximize ,16
ENG116968-ENG116498-Leuchte32AMBL 2C35-Dimming Direction GH 32,maximize ,16
ENG116968-ENG116485-Leuchte32AMBL 2C35-Dimmwert AB 32,0 ,16
ENG116968-ENG116489-Leuchte32AMBL 2C35-Dimmwert CD 32,0 ,16
ENG116968-ENG116493-Leuchte32AMBL 2C35-Dimmwert EF 32,0 ,16
ENG116968-ENG116497-Leuchte32AMBL 2C35-Dimmwert GH 32,0 ,16
ENG116968-ENG116482-Leuchte32AMBL 2C35-Fehlerort mittleres Byte DTC-DFCC 32,00 ,16
ENG116968-ENG116584-Leuchte32AMBL 2C35-Lampendefektbitposition 32,00 ,16
ENG116968-ENG116480-Leuchte32AMBL 2C35-Lasttyp 32,not active ,16
ENG116968-ENG116486-Leuchte32AMBL 2C35-Lichtansteuerung HD AB 32,Always ,16
ENG116968-ENG116483-Leuchte32AMBL 2C35-Lichtfunktion A 32,not active ,16
ENG116968-ENG116484-Leuchte32AMBL 2C35-Lichtfunktion B 32,not active ,16
ENG116968-ENG116487-Leuchte32AMBL 2C35-Lichtfunktion C 32,not active ,16
ENG116968-ENG116488-Leuchte32AMBL 2C35-Lichtfunktion D 32,not active ,16
ENG116968-ENG116491-Leuchte32AMBL 2C35-Lichtfunktion E 32,not active ,16
ENG116968-ENG116492-Leuchte32AMBL 2C35-Lichtfunktion F 32,not active ,16
ENG116968-ENG116495-Leuchte32AMBL 2C35-Lichtfunktion G 32,not active ,16
ENG116968-ENG116496-Leuchte32AMBL 2C35-Lichtfunktion H 32,not active ,16
ENG116969-ENG116509-Leuchte33AMBL 3C36-Dimming Direction CD 33,maximize ,16
ENG116969-ENG116513-Leuchte33AMBL 3C36-Dimming Direction EF 33,maximize ,16
ENG116969-ENG116517-Leuchte33AMBL 3C36-Dimming Direction GH 33,maximize ,16
ENG116969-ENG116504-Leuchte33AMBL 3C36-Dimmwert AB 33,0 ,16
ENG116969-ENG116508-Leuchte33AMBL 3C36-Dimmwert CD 33,0 ,16
ENG116969-ENG116512-Leuchte33AMBL 3C36-Dimmwert EF 33,0 ,16
ENG116969-ENG116516-Leuchte33AMBL 3C36-Dimmwert GH 33,0 ,16
ENG116969-ENG116501-Leuchte33AMBL 3C36-Fehlerort mittleres Byte DTC-DFCC 33,00 ,16
ENG116969-ENG116585-Leuchte33AMBL 3C36-Lampendefektbitposition 33,00 ,16
ENG116969-ENG116499-Leuchte33AMBL 3C36-Lasttyp 33,not active ,16
ENG116969-ENG116505-Leuchte33AMBL 3C36-Lichtansteuerung HD AB 33,Always ,16
ENG116969-ENG116502-Leuchte33AMBL 3C36-Lichtfunktion A 33,not active ,16
ENG116969-ENG116503-Leuchte33AMBL 3C36-Lichtfunktion B 33,not active ,16
ENG116969-ENG116506-Leuchte33AMBL 3C36-Lichtfunktion C 33,not active ,16
ENG116969-ENG116507-Leuchte33AMBL 3C36-Lichtfunktion D 33,not active ,16
ENG116969-ENG116510-Leuchte33AMBL 3C36-Lichtfunktion E 33,not active ,16
ENG116969-ENG116511-Leuchte33AMBL 3C36-Lichtfunktion F 33,not active ,16
ENG116969-ENG116514-Leuchte33AMBL 3C36-Lichtfunktion G 33,not active ,16
ENG116969-ENG116515-Leuchte33AMBL 3C36-Lichtfunktion H 33,not active ,16
ENG116970-ENG116528-Leuchte34AMBL 4C37-Dimming Direction CD 34,maximize ,16
ENG116970-ENG116532-Leuchte34AMBL 4C37-Dimming Direction EF 34,maximize ,16
ENG116970-ENG116536-Leuchte34AMBL 4C37-Dimming Direction GH 34,maximize ,16
ENG116970-ENG116523-Leuchte34AMBL 4C37-Dimmwert AB 34,0 ,16
ENG116970-ENG116527-Leuchte34AMBL 4C37-Dimmwert CD 34,0 ,16
ENG116970-ENG116531-Leuchte34AMBL 4C37-Dimmwert EF 34,0 ,16
ENG116970-ENG116535-Leuchte34AMBL 4C37-Dimmwert GH 34,0 ,16
ENG116970-ENG116520-Leuchte34AMBL 4C37-Fehlerort mittleres Byte DTC-DFCC 34,00 ,16
ENG116970-ENG116586-Leuchte34AMBL 4C37-Lampendefektbitposition 34,00 ,16
ENG116970-ENG116518-Leuchte34AMBL 4C37-Lasttyp 34,not active ,16
ENG116970-ENG116524-Leuchte34AMBL 4C37-Lichtansteuerung HD AB 34,Always ,16
ENG116970-ENG116521-Leuchte34AMBL 4C37-Lichtfunktion A 34,not active ,16
ENG116970-ENG116522-Leuchte34AMBL 4C37-Lichtfunktion B 34,not active ,16
ENG116970-ENG116525-Leuchte34AMBL 4C37-Lichtfunktion C 34,not active ,16
ENG116970-ENG116526-Leuchte34AMBL 4C37-Lichtfunktion D 34,not active ,16
ENG116970-ENG116529-Leuchte34AMBL 4C37-Lichtfunktion E 34,not active ,16
ENG116970-ENG116530-Leuchte34AMBL 4C37-Lichtfunktion F 34,not active ,16
ENG116970-ENG116533-Leuchte34AMBL 4C37-Lichtfunktion G 34,not active ,16
ENG116970-ENG116534-Leuchte34AMBL 4C37-Lichtfunktion H 34,not active ,16
ENG116939-ENG115939-Leuchte3SL VRB21-Dimming Direction CD 3,maximize ,16
ENG116939-ENG115943-Leuchte3SL VRB21-Dimming Direction EF 3,maximize ,16
ENG116939-ENG115947-Leuchte3SL VRB21-Dimming Direction GH 3,maximize ,16
ENG116939-ENG115934-Leuchte3SL VRB21-Dimmwert AB 3,0 ,16
ENG116939-ENG115938-Leuchte3SL VRB21-Dimmwert CD 3,0 ,16
ENG116939-ENG115942-Leuchte3SL VRB21-Dimmwert EF 3,0 ,16
ENG116939-ENG115946-Leuchte3SL VRB21-Dimmwert GH 3,0 ,16
ENG116939-ENG115931-Leuchte3SL VRB21-Fehlerort mittleres Byte DTC-DFCC 3,00 ,16
ENG116939-ENG116551-Leuchte3SL VRB21-Lampendefektbitposition 3,00 ,16
ENG116939-ENG115929-Leuchte3SL VRB21-Lasttyp 3,not active ,16
ENG116939-ENG115935-Leuchte3SL VRB21-Lichtansteuerung HD AB 3,Always ,16
ENG116939-ENG115932-Leuchte3SL VRB21-Lichtfunktion A 3,not active ,16
ENG116939-ENG115933-Leuchte3SL VRB21-Lichtfunktion B 3,not active ,16
ENG116939-ENG115936-Leuchte3SL VRB21-Lichtfunktion C 3,not active ,16
ENG116939-ENG115937-Leuchte3SL VRB21-Lichtfunktion D 3,not active ,16
ENG116939-ENG115940-Leuchte3SL VRB21-Lichtfunktion E 3,not active ,16
ENG116939-ENG116552-Leuchte3SL VRB21-Lichtfunktion F 3,not active ,16
ENG116939-ENG115944-Leuchte3SL VRB21-Lichtfunktion G 3,not active ,16
ENG116939-ENG115945-Leuchte3SL VRB21-Lichtfunktion H 3,not active ,16
ENG116940-ENG115958-Leuchte4TFL LB4-Dimming Direction CD 4,maximize ,16
ENG116940-ENG115962-Leuchte4TFL LB4-Dimming Direction EF 4,maximize ,16
ENG116940-ENG115966-Leuchte4TFL LB4-Dimming Direction GH 4,maximize ,16
ENG116940-ENG115953-Leuchte4TFL LB4-Dimmwert AB 4,127 ,16
ENG116940-ENG115957-Leuchte4TFL LB4-Dimmwert CD 4,0 ,16
ENG116940-ENG115961-Leuchte4TFL LB4-Dimmwert EF 4,0 ,16
ENG116940-ENG115965-Leuchte4TFL LB4-Dimmwert GH 4,0 ,16
ENG116940-ENG115950-Leuchte4TFL LB4-Fehlerort mittleres Byte DTC-DFCC 4,20 ,16
ENG116940-ENG116553-Leuchte4TFL LB4-Lampendefektbitposition 4,3A ,16
ENG116940-ENG115948-Leuchte4TFL LB4-Lasttyp 4,4 - LED Tagfahrlichtmodul Signal ,16
ENG116940-ENG115954-Leuchte4TFL LB4-Lichtansteuerung HD AB 4,Always ,16
ENG116940-ENG115951-Leuchte4TFL LB4-Lichtfunktion A 4,Daytime running lights ,16
ENG116940-ENG115952-Leuchte4TFL LB4-Lichtfunktion B 4,Abblendlicht links ,16
ENG116940-ENG115955-Leuchte4TFL LB4-Lichtfunktion C 4,not active ,16
ENG116940-ENG115956-Leuchte4TFL LB4-Lichtfunktion D 4,not active ,16
ENG116940-ENG115959-Leuchte4TFL LB4-Lichtfunktion E 4,not active ,16
ENG116940-ENG115960-Leuchte4TFL LB4-Lichtfunktion F 4,not active ,16
ENG116940-ENG115963-Leuchte4TFL LB4-Lichtfunktion G 4,not active ,16
ENG116940-ENG115964-Leuchte4TFL LB4-Lichtfunktion H 4,not active ,16
ENG116941-ENG115977-Leuchte5 TFL RB32-Dimming Direction CD 5,maximize ,16
ENG116941-ENG115981-Leuchte5 TFL RB32-Dimming Direction EF 5,maximize ,16
ENG116941-ENG115985-Leuchte5 TFL RB32-Dimming Direction GH 5,maximize ,16
ENG116941-ENG115972-Leuchte5 TFL RB32-Dimmwert AB 5,127 ,16
ENG116941-ENG115976-Leuchte5 TFL RB32-Dimmwert CD 5,0 ,16
ENG116941-ENG115980-Leuchte5 TFL RB32-Dimmwert EF 5,0 ,16
ENG116941-ENG115984-Leuchte5 TFL RB32-Dimmwert GH 5,0 ,16
ENG116941-ENG115969-Leuchte5 TFL RB32-Fehlerort mittleres Byte DTC-DFCC 5,21 ,16
ENG116941-ENG116554-Leuchte5 TFL RB32-Lampendefektbitposition 5,44 ,16
ENG116941-ENG115967-Leuchte5 TFL RB32-Lasttyp 5,4 - LED Tagfahrlichtmodul Signal ,16
ENG116941-ENG115973-Leuchte5 TFL RB32-Lichtansteuerung HD AB 5,Always ,16
ENG116941-ENG115970-Leuchte5 TFL RB32-Lichtfunktion A 5,Daytime running lights ,16
ENG116941-ENG115971-Leuchte5 TFL RB32-Lichtfunktion B 5,Abblendlicht rechts ,16
ENG116941-ENG115974-Leuchte5 TFL RB32-Lichtfunktion C 5,not active ,16
ENG116941-ENG115975-Leuchte5 TFL RB32-Lichtfunktion D 5,not active ,16
ENG116941-ENG115978-Leuchte5 TFL RB32-Lichtfunktion E 5,not active ,16
ENG116941-ENG116555-Leuchte5 TFL RB32-Lichtfunktion F 5,not active ,16
ENG116941-ENG115982-Leuchte5 TFL RB32-Lichtfunktion G 5,not active ,16
ENG116941-ENG115983-Leuchte5 TFL RB32-Lichtfunktion H 5,not active ,16
ENG116942-ENG115996-Leuchte6ABL LC5-Dimming Direction CD 6,maximize ,16
ENG116942-ENG116000-Leuchte6ABL LC5-Dimming Direction EF 6,maximize ,16
ENG116942-ENG116004-Leuchte6ABL LC5-Dimming Direction GH 6,maximize ,16
ENG116942-ENG115991-Leuchte6ABL LC5-Dimmwert AB 6,127 ,16
ENG116942-ENG115995-Leuchte6ABL LC5-Dimmwert CD 6,0 ,16
ENG116942-ENG115999-Leuchte6ABL LC5-Dimmwert EF 6,0 ,16
ENG116942-ENG116003-Leuchte6ABL LC5-Dimmwert GH 6,0 ,16
ENG116942-ENG115988-Leuchte6ABL LC5-Fehlerort mittleres Byte DTC-DFCC 6,1A ,16
ENG116942-ENG116556-Leuchte6ABL LC5-Lampendefektbitposition 6,36 ,16
ENG116942-ENG115986-Leuchte6ABL LC5-Lasttyp 6,5 - LED Abblendlicht ,16
