;SW:5NA-035-020-D   HW:5NA-035-020 ---  Information Electr.
;Component:MU-H-ND-EU    H54 1367, Coding:02738001FF0000004111010100880A231F0105D4012005009E
ENG122227-ENG152546-Car_Function_Adaptations_Gen2-menu_crossroad_assistent_over_threshold_high,not activated ,60
ENG122227-ENG152547-Car_Function_Adaptations_Gen2-menu_crossroad_assistent_standstill,not activated ,60
ENG122227-ENG117486-Car_Function_Adaptations_Gen2-menu_display_ACC,activated ,60
ENG122227-ENG117490-Car_Function_Adaptations_Gen2-menu_display_ACC_after_disclaimer,not activated ,60
ENG122227-ENG117487-Car_Function_Adaptations_Gen2-menu_display_ACC_operation_clamp_15_off,not activated ,60
ENG122227-ENG117488-Car_Function_Adaptations_Gen2-menu_display_ACC_over_threshold_high,activated ,60
ENG122227-ENG117489-Car_Function_Adaptations_Gen2-menu_display_ACC_standstill,not activated ,60
ENG122227-ENG117646-Car_Function_Adaptations_Gen2-menu_display_adaptive_key,not activated ,60
ENG122227-ENG117650-Car_Function_Adaptations_Gen2-menu_display_adaptive_key_after_disclaimer,not activated ,60
ENG122227-ENG117647-Car_Function_Adaptations_Gen2-menu_display_adaptive_key_clamp_15_off,not activated ,60
ENG122227-ENG117648-Car_Function_Adaptations_Gen2-menu_display_adaptive_key_over_threshold_high,not activated ,60
ENG122227-ENG117649-Car_Function_Adaptations_Gen2-menu_display_adaptive_key_standstill,not activated ,60
ENG122227-ENG126152-Car_Function_Adaptations_Gen2-menu_display_Adblue,not activated ,60
ENG122227-ENG126155-Car_Function_Adaptations_Gen2-menu_display_Adblue_after_disclaimer,not activated ,60
ENG122227-ENG127002-Car_Function_Adaptations_Gen2-menu_display_Adblue_clamp_15_off,not activated ,60
ENG122227-ENG126153-Car_Function_Adaptations_Gen2-menu_display_Adblue_over_threshold_high,not activated ,60
ENG122227-ENG126154-Car_Function_Adaptations_Gen2-menu_display_Adblue_standstill,not activated ,60
ENG122227-ENG117591-Car_Function_Adaptations_Gen2-menu_display_air_damper,not activated ,60
ENG122227-ENG117595-Car_Function_Adaptations_Gen2-menu_display_air_damper_after_disclaimer,not activated ,60
ENG122227-ENG117592-Car_Function_Adaptations_Gen2-menu_display_air_damper_clamp_15_off,not activated ,60
ENG122227-ENG117593-Car_Function_Adaptations_Gen2-menu_display_air_damper_over_threshold_high,not activated ,60
ENG122227-ENG117594-Car_Function_Adaptations_Gen2-menu_display_air_damper_standstill,not activated ,60
ENG122227-ENG117491-Car_Function_Adaptations_Gen2-menu_display_ambient_illumination,activated ,60
ENG122227-ENG117495-Car_Function_Adaptations_Gen2-menu_display_ambient_illumination_after_disclaimer,not activated ,60
ENG122227-ENG117492-Car_Function_Adaptations_Gen2-menu_display_ambient_illumination_clamp_15_off,not activated ,60
ENG122227-ENG117493-Car_Function_Adaptations_Gen2-menu_display_ambient_illumination_over_threshold_high,activated ,60
ENG122227-ENG117494-Car_Function_Adaptations_Gen2-menu_display_ambient_illumination_standstill,not activated ,60
ENG122227-ENG122296-Car_Function_Adaptations_Gen2-menu_display_angle_of_slope,not activated ,60
ENG122227-ENG122300-Car_Function_Adaptations_Gen2-menu_display_angle_of_slope_after_disclaimer,not activated ,60
ENG122227-ENG122297-Car_Function_Adaptations_Gen2-menu_display_angle_of_slope_clamp_15_off,not activated ,60
ENG122227-ENG122298-Car_Function_Adaptations_Gen2-menu_display_angle_of_slope_over_threshold_high,not activated ,60
ENG122227-ENG122299-Car_Function_Adaptations_Gen2-menu_display_angle_of_slope_standstill,not activated ,60
ENG122227-ENG117641-Car_Function_Adaptations_Gen2-menu_display_attention_identification,not activated ,60
ENG122227-ENG117645-Car_Function_Adaptations_Gen2-menu_display_attention_identification_after_disclaimer,not activated ,60
ENG122227-ENG117642-Car_Function_Adaptations_Gen2-menu_display_attention_identification_clamp_15_off,not activated ,60
ENG122227-ENG117643-Car_Function_Adaptations_Gen2-menu_display_attention_identification_over_threshold_high,not activated ,60
ENG122227-ENG117644-Car_Function_Adaptations_Gen2-menu_display_attention_identification_standstill,not activated ,60
ENG122227-ENG117531-Car_Function_Adaptations_Gen2-menu_display_auxiliary_heating,not activated ,60
ENG122227-ENG117535-Car_Function_Adaptations_Gen2-menu_display_auxiliary_heating_after_disclaimer,not activated ,60
ENG122227-ENG117532-Car_Function_Adaptations_Gen2-menu_display_auxiliary_heating_clamp_15_off,not activated ,60
ENG122227-ENG117533-Car_Function_Adaptations_Gen2-menu_display_auxiliary_heating_over_threshold_high,not activated ,60
ENG122227-ENG117534-Car_Function_Adaptations_Gen2-menu_display_auxiliary_heating_standstill,not activated ,60
ENG122227-ENG117501-Car_Function_Adaptations_Gen2-menu_display_awv,activated ,60
ENG122227-ENG117505-Car_Function_Adaptations_Gen2-menu_display_awv_after_disclaimer,not activated ,60
ENG122227-ENG117502-Car_Function_Adaptations_Gen2-menu_display_awv_clamp_15_off,not activated ,60
ENG122227-ENG117503-Car_Function_Adaptations_Gen2-menu_display_awv_over_threshold_high,activated ,60
ENG122227-ENG117504-Car_Function_Adaptations_Gen2-menu_display_awv_standstill,not activated ,60
ENG122227-ENG122301-Car_Function_Adaptations_Gen2-menu_display_battery_management,activated ,60
ENG122227-ENG122305-Car_Function_Adaptations_Gen2-menu_display_battery_management_after_disclaimer,not activated ,60
ENG122227-ENG122302-Car_Function_Adaptations_Gen2-menu_display_battery_management_clamp_15_off,not activated ,60
ENG122227-ENG122303-Car_Function_Adaptations_Gen2-menu_display_battery_management_over_threshold_high,activated ,60
ENG122227-ENG122304-Car_Function_Adaptations_Gen2-menu_display_battery_management_standstill,not activated ,60
ENG122227-ENG117666-Car_Function_Adaptations_Gen2-menu_display_BCmE,activated ,60
ENG122227-ENG117670-Car_Function_Adaptations_Gen2-menu_display_BCmE_after_disclaimer,not activated ,60
ENG122227-ENG117667-Car_Function_Adaptations_Gen2-menu_display_BCmE_clamp_15_off,not activated ,60
ENG122227-ENG117668-Car_Function_Adaptations_Gen2-menu_display_BCmE_over_threshold_high,activated ,60
ENG122227-ENG117669-Car_Function_Adaptations_Gen2-menu_display_BCmE_standstill,not activated ,60
ENG122227-ENG117536-Car_Function_Adaptations_Gen2-menu_display_board_computer,activated ,60
ENG122227-ENG117540-Car_Function_Adaptations_Gen2-menu_display_board_computer_after_disclaimer,not activated ,60
ENG122227-ENG117537-Car_Function_Adaptations_Gen2-menu_display_board_computer_clamp_15_off,not activated ,60
ENG122227-ENG117538-Car_Function_Adaptations_Gen2-menu_display_board_computer_over_threshold_high,activated ,60
ENG122227-ENG117539-Car_Function_Adaptations_Gen2-menu_display_board_computer_standstill,not activated ,60
ENG122227-ENG117671-Car_Function_Adaptations_Gen2-menu_display_Brake_Function,activated ,60
ENG122227-ENG117675-Car_Function_Adaptations_Gen2-menu_display_Brake_Function_after_disclaimer,not activated ,60
ENG122227-ENG117672-Car_Function_Adaptations_Gen2-menu_display_Brake_Function_clamp_15_off,not activated ,60
ENG122227-ENG117673-Car_Function_Adaptations_Gen2-menu_display_Brake_Function_over_threshold_high,activated ,60
ENG122227-ENG117674-Car_Function_Adaptations_Gen2-menu_display_Brake_Function_standstill,not activated ,60
ENG122227-ENG117651-Car_Function_Adaptations_Gen2-menu_display_car_mirror,activated ,60
ENG122227-ENG117655-Car_Function_Adaptations_Gen2-menu_display_car_mirror_after_disclaimer,not activated ,60
ENG122227-ENG117652-Car_Function_Adaptations_Gen2-menu_display_car_mirror_clamp_15_off,not activated ,60
ENG122227-ENG117653-Car_Function_Adaptations_Gen2-menu_display_car_mirror_over_threshold_high,activated ,60
ENG122227-ENG117654-Car_Function_Adaptations_Gen2-menu_display_car_mirror_standstill,not activated ,60
ENG122227-ENG117561-Car_Function_Adaptations_Gen2-menu_display_central_locking,activated ,60
ENG122227-ENG117565-Car_Function_Adaptations_Gen2-menu_display_central_locking_after_disclaimer,not activated ,60
ENG122227-ENG117562-Car_Function_Adaptations_Gen2-menu_display_central_locking_clamp_15_off,not activated ,60
ENG122227-ENG117563-Car_Function_Adaptations_Gen2-menu_display_central_locking_over_threshold_high,activated ,60
ENG122227-ENG117564-Car_Function_Adaptations_Gen2-menu_display_central_locking_standstill,not activated ,60
ENG122227-ENG117601-Car_Function_Adaptations_Gen2-menu_display_central_unit_master,activated ,60
ENG122227-ENG117605-Car_Function_Adaptations_Gen2-menu_display_central_unit_master_after_disclaimer,not activated ,60
ENG122227-ENG117602-Car_Function_Adaptations_Gen2-menu_display_central_unit_master_clamp_15_off,not activated ,60
ENG122227-ENG117603-Car_Function_Adaptations_Gen2-menu_display_central_unit_master_over_threshold_high,activated ,60
ENG122227-ENG117604-Car_Function_Adaptations_Gen2-menu_display_central_unit_master_standstill,not activated ,60
ENG122227-ENG117571-Car_Function_Adaptations_Gen2-menu_display_charisma,activated ,60
ENG122227-ENG117575-Car_Function_Adaptations_Gen2-menu_display_charisma_after_disclaimer,not activated ,60
ENG122227-ENG117572-Car_Function_Adaptations_Gen2-menu_display_charisma_clamp_15_off,not activated ,60
ENG122227-ENG117573-Car_Function_Adaptations_Gen2-menu_display_charisma_over_threshold_high,activated ,60
ENG122227-ENG117574-Car_Function_Adaptations_Gen2-menu_display_charisma_standstill,not activated ,60
ENG122227-ENG117526-Car_Function_Adaptations_Gen2-menu_display_clima_configuration,activated ,60
ENG122227-ENG117530-Car_Function_Adaptations_Gen2-menu_display_clima_configuration_after_disclaimer,not activated ,60
ENG122227-ENG117527-Car_Function_Adaptations_Gen2-menu_display_clima_configuration_clamp_15_off,not activated ,60
ENG122227-ENG117528-Car_Function_Adaptations_Gen2-menu_display_clima_configuration_over_threshold_high,activated ,60
ENG122227-ENG117529-Car_Function_Adaptations_Gen2-menu_display_clima_configuration_standstill,not activated ,60
ENG122227-ENG117586-Car_Function_Adaptations_Gen2-menu_display_clock,activated ,60
ENG122227-ENG117590-Car_Function_Adaptations_Gen2-menu_display_clock_after_disclaimer,not activated ,60
ENG122227-ENG117587-Car_Function_Adaptations_Gen2-menu_display_clock_clamp_15_off,not activated ,60
ENG122227-ENG117588-Car_Function_Adaptations_Gen2-menu_display_clock_over_threshold_high,activated ,60
ENG122227-ENG117589-Car_Function_Adaptations_Gen2-menu_display_clock_standstill,not activated ,60
ENG122227-ENG117566-Car_Function_Adaptations_Gen2-menu_display_compass,not activated ,60
ENG122227-ENG117570-Car_Function_Adaptations_Gen2-menu_display_compass_after_disclaimer,not activated ,60
ENG122227-ENG117567-Car_Function_Adaptations_Gen2-menu_display_compass_clamp_15_off,not activated ,60
ENG122227-ENG117568-Car_Function_Adaptations_Gen2-menu_display_compass_over_threshold_high,not activated ,60
ENG122227-ENG117569-Car_Function_Adaptations_Gen2-menu_display_compass_standstill,not activated ,60
ENG122227-ENG125823-Car_Function_Adaptations_Gen2-menu_display_Curve_Assist,not activated ,60
ENG122227-ENG125826-Car_Function_Adaptations_Gen2-menu_display_Curve_Assist_after_disclaimer,not activated ,60
ENG122227-ENG126998-Car_Function_Adaptations_Gen2-menu_display_Curve_Assist_clamp_15_off,not activated ,60
ENG122227-ENG125824-Car_Function_Adaptations_Gen2-menu_display_Curve_Assist_over_threshold_high,not activated ,60
ENG122227-ENG125825-Car_Function_Adaptations_Gen2-menu_display_Curve_Assist_standstill,not activated ,60
ENG122227-ENG142087-Car_Function_Adaptations_Gen2-menu_display_Display_Configuration,not activated ,60
ENG122227-ENG142091-Car_Function_Adaptations_Gen2-menu_display_Display_Configuration_after_disclaimer,not activated ,60
ENG122227-ENG142088-Car_Function_Adaptations_Gen2-menu_display_Display_Configuration_clamp_15_off,not activated ,60
ENG122227-ENG142089-Car_Function_Adaptations_Gen2-menu_display_Display_Configuration_over_threshold_high,not activated ,60
ENG122227-ENG142090-Car_Function_Adaptations_Gen2-menu_display_Display_Configuration_standstill,not activated ,60
ENG122227-ENG117656-Car_Function_Adaptations_Gen2-menu_display_driving_school,not activated ,60
ENG122227-ENG117660-Car_Function_Adaptations_Gen2-menu_display_driving_school_after_disclaimer,not activated ,60
ENG122227-ENG117657-Car_Function_Adaptations_Gen2-menu_display_driving_school_clamp_15_off,not activated ,60
ENG122227-ENG117658-Car_Function_Adaptations_Gen2-menu_display_driving_school_over_threshold_high,not activated ,60
ENG122227-ENG117659-Car_Function_Adaptations_Gen2-menu_display_driving_school_standstill,not activated ,60
ENG122227-ENG125034-Car_Function_Adaptations_Gen2-menu_display_Ecall,activated ,60
ENG122227-ENG125038-Car_Function_Adaptations_Gen2-menu_display_Ecall_after_disclaimer,not activated ,60
ENG122227-ENG126999-Car_Function_Adaptations_Gen2-menu_display_eCall_clamp_15_off,not activated ,60
ENG122227-ENG125036-Car_Function_Adaptations_Gen2-menu_display_Ecall_over_threshold_high,activated ,60
ENG122227-ENG125037-Car_Function_Adaptations_Gen2-menu_display_Ecall_standstill,not activated ,60
ENG122227-ENG126160-Car_Function_Adaptations_Gen2-menu_display_Efficiency_Assist,activated ,60
ENG122227-ENG126163-Car_Function_Adaptations_Gen2-menu_display_Efficiency_Assist_after_disclaimer,not activated ,60
ENG122227-ENG127004-Car_Function_Adaptations_Gen2-menu_display_Efficiency_Assist_clamp_15_off,not activated ,60
ENG122227-ENG126161-Car_Function_Adaptations_Gen2-menu_display_Efficiency_Assist_over_threshold_high,activated ,60
ENG122227-ENG126162-Car_Function_Adaptations_Gen2-menu_display_Efficiency_Assist_standstill,not activated ,60
ENG122227-ENG126144-Car_Function_Adaptations_Gen2-menu_display_ENI,activated ,60
ENG122227-ENG126147-Car_Function_Adaptations_Gen2-menu_display_ENI_after_disclaimer,not activated ,60
ENG122227-ENG127000-Car_Function_Adaptations_Gen2-menu_display_ENI_clamp_15_off,not activated ,60
ENG122227-ENG126145-Car_Function_Adaptations_Gen2-menu_display_ENI_over_threshold_high,activated ,60
ENG122227-ENG126146-Car_Function_Adaptations_Gen2-menu_display_ENI_standstill,not activated ,60
ENG122227-ENG117516-Car_Function_Adaptations_Gen2-menu_display_exterior_illumination,activated ,60
ENG122227-ENG117520-Car_Function_Adaptations_Gen2-menu_display_exterior_illumination_after_disclaimer,not activated ,60
ENG122227-ENG117517-Car_Function_Adaptations_Gen2-menu_display_exterior_illumination_clamp_15_off,not activated ,60
ENG122227-ENG117518-Car_Function_Adaptations_Gen2-menu_display_exterior_illumination_over_threshold_high,activated ,60
ENG122227-ENG117519-Car_Function_Adaptations_Gen2-menu_display_exterior_illumination_standstill,not activated ,60
ENG122227-ENG117596-Car_Function_Adaptations_Gen2-menu_display_headup_display,not activated ,60
ENG122227-ENG117600-Car_Function_Adaptations_Gen2-menu_display_headup_display_after_disclaimer,not activated ,60
ENG122227-ENG117597-Car_Function_Adaptations_Gen2-menu_display_headup_display_clamp_15_off,not activated ,60
ENG122227-ENG117598-Car_Function_Adaptations_Gen2-menu_display_headup_display_over_threshold_high,not activated ,60
ENG122227-ENG117599-Car_Function_Adaptations_Gen2-menu_display_headup_display_standstill,not activated ,60
ENG122227-ENG117606-Car_Function_Adaptations_Gen2-menu_display_hybrid,activated ,60
ENG122227-ENG117610-Car_Function_Adaptations_Gen2-menu_display_hybrid_after_disclaimer,not activated ,60
ENG122227-ENG117607-Car_Function_Adaptations_Gen2-menu_display_hybrid_clamp_15_off,not activated ,60
ENG122227-ENG117608-Car_Function_Adaptations_Gen2-menu_display_hybrid_over_threshold_high,activated ,60
ENG122227-ENG117609-Car_Function_Adaptations_Gen2-menu_display_hybrid_standstill,not activated ,60
ENG122227-ENG125805-Car_Function_Adaptations_Gen2-menu_display_lane_assistant,activated ,60
ENG122227-ENG125809-Car_Function_Adaptations_Gen2-menu_display_lane_assistant_after_disclaimer,not activated ,60
ENG122227-ENG125806-Car_Function_Adaptations_Gen2-menu_display_lane_assistant_clamp_15_off,not activated ,60
ENG122227-ENG125807-Car_Function_Adaptations_Gen2-menu_display_lane_assistant_over_threshold_high,activated ,60
ENG122227-ENG125808-Car_Function_Adaptations_Gen2-menu_display_lane_assistant_standstill,not activated ,60
ENG122227-ENG117506-Car_Function_Adaptations_Gen2-menu_display_Lane_Departure_Warning,activated ,60
ENG122227-ENG117510-Car_Function_Adaptations_Gen2-menu_display_Lane_Departure_Warning_after_disclaimer,not activated ,60
ENG122227-ENG117507-Car_Function_Adaptations_Gen2-menu_display_Lane_Departure_Warning_clamp_15_off,not activated ,60
ENG122227-ENG117508-Car_Function_Adaptations_Gen2-menu_display_Lane_Departure_Warning_over_threshold_high,activated ,60
ENG122227-ENG117509-Car_Function_Adaptations_Gen2-menu_display_Lane_Departure_Warning_standstill,not activated ,60
ENG122227-ENG117631-Car_Function_Adaptations_Gen2-menu_display_MFL_jocker,not activated ,60
ENG122227-ENG117635-Car_Function_Adaptations_Gen2-menu_display_MFL_jocker_after_disclaimer,not activated ,60
ENG122227-ENG117632-Car_Function_Adaptations_Gen2-menu_display_MFL_jocker_clamp_15_off,not activated ,60
ENG122227-ENG117633-Car_Function_Adaptations_Gen2-menu_display_MFL_jocker_over_threshold_high,not activated ,60
ENG122227-ENG117634-Car_Function_Adaptations_Gen2-menu_display_MFL_jocker_standstill,not activated ,60
ENG122227-ENG117616-Car_Function_Adaptations_Gen2-menu_display_night_vision,not activated ,60
ENG122227-ENG117620-Car_Function_Adaptations_Gen2-menu_display_night_vision_after_disclaimer,not activated ,60
ENG122227-ENG117617-Car_Function_Adaptations_Gen2-menu_display_night_vision_clamp_15_off,not activated ,60
ENG122227-ENG117618-Car_Function_Adaptations_Gen2-menu_display_night_vision_over_threshold_high,not activated ,60
ENG122227-ENG117619-Car_Function_Adaptations_Gen2-menu_display_night_vision_standstill,not activated ,60
ENG122227-ENG117576-Car_Function_Adaptations_Gen2-menu_display_oil_level,not activated ,60
ENG122227-ENG117580-Car_Function_Adaptations_Gen2-menu_display_oil_level_after_disclaimer,not activated ,60
ENG122227-ENG117577-Car_Function_Adaptations_Gen2-menu_display_oil_level_clamp_15_off,not activated ,60
ENG122227-ENG117578-Car_Function_Adaptations_Gen2-menu_display_oil_level_over_threshold_high,not activated ,60
ENG122227-ENG117579-Car_Function_Adaptations_Gen2-menu_display_oil_level_standstill,not activated ,60
ENG122227-ENG117496-Car_Function_Adaptations_Gen2-menu_display_pdc,activated ,60
ENG122227-ENG117500-Car_Function_Adaptations_Gen2-menu_display_pdc_after_disclaimer,not activated ,60
ENG122227-ENG117497-Car_Function_Adaptations_Gen2-menu_display_pdc_clamp_15_off,not activated ,60
ENG122227-ENG117498-Car_Function_Adaptations_Gen2-menu_display_pdc_over_threshold_high,activated ,60
ENG122227-ENG117499-Car_Function_Adaptations_Gen2-menu_display_pdc_standstill,not activated ,60
ENG122227-ENG125815-Car_Function_Adaptations_Gen2-menu_display_Pedestrian_Assist,not activated ,60
ENG122227-ENG125818-Car_Function_Adaptations_Gen2-menu_display_Pedestrian_Assist_after_disclaimer,not activated ,60
ENG122227-ENG126996-Car_Function_Adaptations_Gen2-menu_display_Pedestrian_Assist_clamp_15_off,not activated ,60
ENG122227-ENG125816-Car_Function_Adaptations_Gen2-menu_display_Pedestrian_Assist_over_threshold_high,not activated ,60
ENG122227-ENG125817-Car_Function_Adaptations_Gen2-menu_display_Pedestrian_Assist_standstill,not activated ,60
ENG122227-ENG117541-Car_Function_Adaptations_Gen2-menu_display_rdk,activated ,60
ENG122227-ENG117545-Car_Function_Adaptations_Gen2-menu_display_rdk_after_disclaimer,not activated ,60
ENG122227-ENG117542-Car_Function_Adaptations_Gen2-menu_display_rdk_clamp_15_off,not activated ,60
ENG122227-ENG117543-Car_Function_Adaptations_Gen2-menu_display_rdk_over_threshold_high,activated ,60
ENG122227-ENG117544-Car_Function_Adaptations_Gen2-menu_display_rdk_standstill,not activated ,60
ENG122227-ENG122306-Car_Function_Adaptations_Gen2-menu_display_RearSeatEntertainment,not activated ,60
ENG122227-ENG122310-Car_Function_Adaptations_Gen2-menu_display_RearSeatEntertainment_after_disclaimer,not activated ,60
ENG122227-ENG122307-Car_Function_Adaptations_Gen2-menu_display_RearSeatEntertainment_clamp_15_off,not activated ,60
ENG122227-ENG122308-Car_Function_Adaptations_Gen2-menu_display_RearSeatEntertainment_over_threshold_high,not activated ,60
ENG122227-ENG122309-Car_Function_Adaptations_Gen2-menu_display_RearSeatEntertainment_standstill,not activated ,60
ENG122227-ENG117626-Car_Function_Adaptations_Gen2-menu_display_reversible_belt_pre_load,activated ,60
ENG122227-ENG117630-Car_Function_Adaptations_Gen2-menu_display_reversible_belt_pre_load_after_disclaimer,not activated ,60
ENG122227-ENG117627-Car_Function_Adaptations_Gen2-menu_display_reversible_belt_pre_load_clamp_15_off,not activated ,60
ENG122227-ENG117628-Car_Function_Adaptations_Gen2-menu_display_reversible_belt_pre_load_over_threshold_high,activated ,60
ENG122227-ENG117629-Car_Function_Adaptations_Gen2-menu_display_reversible_belt_pre_load_standstill,not activated ,60
ENG122227-ENG117636-Car_Function_Adaptations_Gen2-menu_display_road_sign_identification,activated ,60
ENG122227-ENG117640-Car_Function_Adaptations_Gen2-menu_display_road_sign_identification_after_disclaimer,not activated ,60
ENG122227-ENG117637-Car_Function_Adaptations_Gen2-menu_display_road_sign_identification_clamp_15_off,not activated ,60
ENG122227-ENG117638-Car_Function_Adaptations_Gen2-menu_display_road_sign_identification_over_threshold_high,activated ,60
ENG122227-ENG117639-Car_Function_Adaptations_Gen2-menu_display_road_sign_identification_standstill,not activated ,60
ENG122227-ENG117556-Car_Function_Adaptations_Gen2-menu_display_seat_configuration,not activated ,60
ENG122227-ENG117560-Car_Function_Adaptations_Gen2-menu_display_seat_configuration_after_disclaimer,not activated ,60
ENG122227-ENG117557-Car_Function_Adaptations_Gen2-menu_display_seat_configuration_clamp_15_off,not activated ,60
ENG122227-ENG117558-Car_Function_Adaptations_Gen2-menu_display_seat_configuration_over_threshold_high,not activated ,60
ENG122227-ENG117559-Car_Function_Adaptations_Gen2-menu_display_seat_configuration_standstill,not activated ,60
ENG122227-ENG125819-Car_Function_Adaptations_Gen2-menu_display_Seat_Pneumatic,not activated ,60
ENG122227-ENG125822-Car_Function_Adaptations_Gen2-menu_display_Seat_Pneumatic_after_disclaimer,not activated ,60
ENG122227-ENG126997-Car_Function_Adaptations_Gen2-menu_display_Seat_Pneumatic_clamp_15_off,not activated ,60
ENG122227-ENG125820-Car_Function_Adaptations_Gen2-menu_display_Seat_Pneumatic_over_threshold_high,not activated ,60
ENG122227-ENG125821-Car_Function_Adaptations_Gen2-menu_display_Seat_Pneumatic_standstill,not activated ,60
ENG122227-ENG117551-Car_Function_Adaptations_Gen2-menu_display_sia,activated ,60
ENG122227-ENG117555-Car_Function_Adaptations_Gen2-menu_display_sia_after_disclaimer,not activated ,60
ENG122227-ENG117552-Car_Function_Adaptations_Gen2-menu_display_sia_clamp_15_off,not activated ,60
ENG122227-ENG117553-Car_Function_Adaptations_Gen2-menu_display_sia_over_threshold_high,activated ,60
ENG122227-ENG117554-Car_Function_Adaptations_Gen2-menu_display_sia_standstill,not activated ,60
ENG122227-ENG117621-Car_Function_Adaptations_Gen2-menu_display_side_view,not activated ,60
ENG122227-ENG117625-Car_Function_Adaptations_Gen2-menu_display_side_view_after_disclaimer,not activated ,60
ENG122227-ENG117622-Car_Function_Adaptations_Gen2-menu_display_side_view_clamp_15_off,not activated ,60
ENG122227-ENG117623-Car_Function_Adaptations_Gen2-menu_display_side_view_over_threshold_high,not activated ,60
ENG122227-ENG117624-Car_Function_Adaptations_Gen2-menu_display_side_view_standstill,not activated ,60
ENG122227-ENG122311-Car_Function_Adaptations_Gen2-menu_display_special_functions,not activated ,60
ENG122227-ENG122314-Car_Function_Adaptations_Gen2-menu_display_special_functions_after_disclaimer,not activated ,60
ENG122227-ENG125810-Car_Function_Adaptations_Gen2-menu_display_special_functions_clamp_15_off,not activated ,60
ENG122227-ENG122312-Car_Function_Adaptations_Gen2-menu_display_special_functions_over_threshold_high,not activated ,60
ENG122227-ENG122313-Car_Function_Adaptations_Gen2-menu_display_special_functions_standstill,not activated ,60
ENG122227-ENG142082-Car_Function_Adaptations_Gen2-menu_display_Spoiler,not activated ,60
ENG122227-ENG142086-Car_Function_Adaptations_Gen2-menu_display_Spoiler_after_disclaimer,not activated ,60
ENG122227-ENG142083-Car_Function_Adaptations_Gen2-menu_display_Spoiler_clamp_15_off,not activated ,60
ENG122227-ENG142084-Car_Function_Adaptations_Gen2-menu_display_Spoiler_over_threshold_high,not activated ,60
ENG122227-ENG142085-Car_Function_Adaptations_Gen2-menu_display_Spoiler_standstill,not activated ,60
ENG122227-ENG126148-Car_Function_Adaptations_Gen2-menu_display_SportHMI,not activated ,60
ENG122227-ENG126151-Car_Function_Adaptations_Gen2-menu_display_SportHMI_after_disclaimer,not activated ,60
ENG122227-ENG127001-Car_Function_Adaptations_Gen2-menu_display_SportHMI_clamp_15_off,not activated ,60
ENG122227-ENG126149-Car_Function_Adaptations_Gen2-menu_display_SportHMI_over_threshold_high,not activated ,60
ENG122227-ENG126150-Car_Function_Adaptations_Gen2-menu_display_SportHMI_standstill,not activated ,60
ENG122227-ENG117676-Car_Function_Adaptations_Gen2-menu_display_Start_Stop_reasons,not activated ,60
ENG122227-ENG117680-Car_Function_Adaptations_Gen2-menu_display_Start_Stop_reasons_after_disclaimer,not activated ,60
ENG122227-ENG117677-Car_Function_Adaptations_Gen2-menu_display_Start_Stop_reasons_clamp_15_off,not activated ,60
ENG122227-ENG117678-Car_Function_Adaptations_Gen2-menu_display_Start_Stop_reasons_over_threshold_high,not activated ,60
ENG122227-ENG117679-Car_Function_Adaptations_Gen2-menu_display_Start_Stop_reasons_standstill,not activated ,60
ENG122227-ENG122315-Car_Function_Adaptations_Gen2-menu_display_trailer_assistant,not activated ,60
ENG122227-ENG122319-Car_Function_Adaptations_Gen2-menu_display_trailer_assistant_after_disclaimer,not activated ,60
ENG122227-ENG122316-Car_Function_Adaptations_Gen2-menu_display_trailer_assistant_clamp_15_off,not activated ,60
ENG122227-ENG122317-Car_Function_Adaptations_Gen2-menu_display_trailer_assistant_over_threshold_high,not activated ,60
ENG122227-ENG122318-Car_Function_Adaptations_Gen2-menu_display_trailer_assistant_standstill,not activated ,60
ENG122227-ENG122320-Car_Function_Adaptations_Gen2-menu_display_TV_tuner,not activated ,60
ENG122227-ENG122324-Car_Function_Adaptations_Gen2-menu_display_TV_tuner_after_disclaimer,not activated ,60
ENG122227-ENG122321-Car_Function_Adaptations_Gen2-menu_display_TV_tuner_clamp_15_off,not activated ,60
ENG122227-ENG122322-Car_Function_Adaptations_Gen2-menu_display_TV_tuner_over_threshold_high,not activated ,60
ENG122227-ENG122323-Car_Function_Adaptations_Gen2-menu_display_TV_tuner_standstill,not activated ,60
ENG122227-ENG117611-Car_Function_Adaptations_Gen2-menu_display_ugdo,not activated ,60
ENG122227-ENG117615-Car_Function_Adaptations_Gen2-menu_display_ugdo_after_disclaimer,not activated ,60
ENG122227-ENG117612-Car_Function_Adaptations_Gen2-menu_display_ugdo_clamp_15_off,not activated ,60
ENG122227-ENG117613-Car_Function_Adaptations_Gen2-menu_display_ugdo_over_threshold_high,not activated ,60
ENG122227-ENG117614-Car_Function_Adaptations_Gen2-menu_display_ugdo_standstill,not activated ,60
ENG122227-ENG122291-Car_Function_Adaptations_Gen2-menu_display_user_eco_rating,activated ,60
ENG122227-ENG122295-Car_Function_Adaptations_Gen2-menu_display_user_eco_rating_after_disclaimer,not activated ,60
ENG122227-ENG122292-Car_Function_Adaptations_Gen2-menu_display_user_eco_rating_clamp_15_off,not activated ,60
ENG122227-ENG122293-Car_Function_Adaptations_Gen2-menu_display_user_eco_rating_over_threshold_high,activated ,60
ENG122227-ENG122294-Car_Function_Adaptations_Gen2-menu_display_user_eco_rating_standstill,not activated ,60
ENG122227-ENG117581-Car_Function_Adaptations_Gen2-menu_display_vin,activated ,60
